batch,instance,algo,vertices,layer,fan,disRate,percNeg,cpMult,g_vertices,g_edges,g_diameter,g_max in degree,g_min in degree,g_mean in degree,g_max out degree,g_min out degree,g_mean out degree,g_disRate,g_perc Negative,g_deadline,g_last task Early Finish,effort,NPV,time
Random,742.tpf,HS,68,7,2,10.0,10.0,2.0,68,123,9,2,1,1.5692307692307692,2,1,1.5538461538461539,0.1,8.823529411764707,150,50,163,816.1477334464687,0.0010340213775634766
Random,742.tpf,RS,68,7,2,10.0,10.0,2.0,68,123,9,2,1,1.5692307692307692,2,1,1.5538461538461539,0.1,8.823529411764707,150,50,209,816.1477334464687,0.0019941329956054688
Random,743.tpf,SAA,79,15,2,20.0,85.0,1.0,79,142,9,2,1,1.5526315789473684,2,1,1.5394736842105263,0.2,87.34177215189874,98,49,5272,0.8071400606817938,0.015957355499267578
Random,743.tpf,HS,79,15,2,20.0,85.0,1.0,79,142,9,2,1,1.5526315789473684,2,1,1.5394736842105263,0.2,87.34177215189874,98,49,3700,0.8071400606817938,0.013962507247924805
Random,743.tpf,RS,79,15,2,20.0,85.0,1.0,79,142,9,2,1,1.5526315789473684,2,1,1.5394736842105263,0.2,87.34177215189874,98,49,15098,0.8071400606817938,0.0747990608215332
Random,744.tpf,SAA,53,5,3,47.0,17.0,1.0,53,122,7,3,1,2.1,3,1,2.08,0.47,13.20754716981132,80,40,2908,55.519305837278196,0.01097249984741211
Random,744.tpf,HS,53,5,3,47.0,17.0,1.0,53,122,7,3,1,2.1,3,1,2.08,0.47,13.20754716981132,80,40,472,55.519305837278196,0.0029900074005126953
Random,744.tpf,RS,53,5,3,47.0,17.0,1.0,53,122,7,3,1,2.1,3,1,2.08,0.47,13.20754716981132,80,40,502,55.519305837278196,0.00199127197265625
Random,746.tpf,SAA,79,3,1,5.0,64.0,2.0,79,115,7,1,1,1.0,1,1,1.0,0.05,58.22784810126582,84,28,3213,901.9701782645798,0.01196742057800293
Random,746.tpf,HS,79,3,1,5.0,64.0,2.0,79,115,7,1,1,1.0,1,1,1.0,0.05,58.22784810126582,84,28,1223,901.9701782645798,0.004991769790649414
Random,746.tpf,RS,79,3,1,5.0,64.0,2.0,79,115,7,1,1,1.0,1,1,1.0,0.05,58.22784810126582,84,28,2394,901.9701782645798,0.014957666397094727
Random,747.tpf,SAA,63,10,1,11.0,77.0,1.5,63,88,9,1,1,1.0,1,1,1.0,0.11,69.84126984126983,85,34,1965,344.6386935007644,0.007942676544189453
Random,747.tpf,HS,63,10,1,11.0,77.0,1.5,63,88,9,1,1,1.0,1,1,1.0,0.11,69.84126984126983,85,34,1122,344.6386935007644,0.003989458084106445
Random,747.tpf,RS,63,10,1,11.0,77.0,1.5,63,88,9,1,1,1.0,1,1,1.0,0.11,69.84126984126983,85,34,2202,344.6386935007644,0.016954660415649414
Random,748.tpf,SAA,79,13,1,19.0,83.0,2.0,79,107,11,1,1,1.0,1,1,1.0,0.19,82.27848101265823,108,36,3794,41.20382890663355,0.018949031829833984
Random,748.tpf,HS,79,13,1,19.0,83.0,2.0,79,107,11,1,1,1.0,1,1,1.0,0.19,82.27848101265823,108,36,2374,41.20382890663355,0.009014129638671875
Random,748.tpf,RS,79,13,1,19.0,83.0,2.0,79,107,11,1,1,1.0,1,1,1.0,0.19,82.27848101265823,108,36,5425,41.20382890663355,0.027928590774536133
Random,749.tpf,SAA,26,3,2,32.0,44.0,2.0,26,44,6,2,1,1.3478260869565217,2,1,1.391304347826087,0.32,50.0,81,27,513,40.548977880557445,0.003002166748046875
Random,749.tpf,HS,26,3,2,32.0,44.0,2.0,26,44,6,2,1,1.3478260869565217,2,1,1.391304347826087,0.32,50.0,81,27,243,40.548977880557445,0.0010349750518798828
Random,749.tpf,RS,26,3,2,32.0,44.0,2.0,26,44,6,2,1,1.3478260869565217,2,1,1.391304347826087,0.32,50.0,81,27,348,40.548977880557445,0.0019903182983398438
Random,75.tpf,SAA,81,15,2,3.0,95.0,1.5,81,146,8,2,1,1.5256410256410255,2,1,1.564102564102564,0.03,91.35802469135803,115,46,5923,-4.949630820875488,0.015957117080688477
Random,75.tpf,HS,81,15,2,3.0,95.0,1.5,81,146,8,2,1,1.5256410256410255,2,1,1.564102564102564,0.03,91.35802469135803,115,46,4516,-4.949630820875488,0.011964797973632812
Random,75.tpf,RS,81,15,2,3.0,95.0,1.5,81,146,8,2,1,1.5256410256410255,2,1,1.564102564102564,0.03,91.35802469135803,115,46,21752,-4.949630820875488,0.11373162269592285
Random,750.tpf,SAA,57,7,2,36.0,24.0,2.0,57,102,7,2,1,1.4814814814814814,2,1,1.5555555555555556,0.36,24.561403508771928,153,51,2050,92.99320829996691,0.006984233856201172
