,batch,instance,algo,par_Vertices,par_Layer,par_Fan,par_DicountedRate,par_PercNeg,par_CP,vertices,edges,diameter,max in degree,min in degree,mean in degree,max out degree,min out degree,mean out degree,discounted Rate,negative activities,deadline,last task Early Finish,effort,NPV,time
954,"['100', '10', '3', '20', '50']",dg385.tpf,SAA,100,10,3,20,50,1,102,238,8,3,1,2.1515151515151514,3,1,2.1414141414141414,0.2,46.07843137254902,126,63,6565,157.58443678338878,0.06861042976379395
955,"['100', '10', '3', '20', '50']",dg385.tpf,HS,100,10,3,20,50,1,102,238,8,3,1,2.1515151515151514,3,1,2.1414141414141414,0.2,46.07843137254902,126,63,4727,157.58443678338878,0.032745361328125
956,"['100', '10', '3', '20', '50']",dg385.tpf,RS,100,10,3,20,50,1,102,238,8,3,1,2.1515151515151514,3,1,2.1414141414141414,0.2,46.07843137254902,126,63,51405,157.58443678338878,0.5999064445495605
957,"['100', '10', '3', '20', '50']",dg386.tpf,SAA,100,10,3,20,50,1,102,235,9,3,1,2.121212121212121,3,1,2.101010101010101,0.2,50.98039215686274,118,59,3997,158.12356827219122,0.03968048095703125
958,"['100', '10', '3', '20', '50']",dg386.tpf,HS,100,10,3,20,50,1,102,235,9,3,1,2.121212121212121,3,1,2.101010101010101,0.2,50.98039215686274,118,59,3346,158.12356827219122,0.02712726593017578
959,"['100', '10', '3', '20', '50']",dg386.tpf,RS,100,10,3,20,50,1,102,235,9,3,1,2.121212121212121,3,1,2.101010101010101,0.2,50.98039215686274,118,59,18246,158.12356827219122,0.2313549518585205
960,"['100', '10', '3', '20', '50']",dg387.tpf,SAA,100,10,3,20,50,1,102,236,8,3,1,2.101010101010101,3,1,2.101010101010101,0.2,44.11764705882353,130,65,3778,241.40197137521884,0.03523516654968262
961,"['100', '10', '3', '20', '50']",dg387.tpf,HS,100,10,3,20,50,1,102,236,8,3,1,2.101010101010101,3,1,2.101010101010101,0.2,44.11764705882353,130,65,2968,241.40197137521884,0.03284764289855957
962,"['100', '10', '3', '20', '50']",dg387.tpf,RS,100,10,3,20,50,1,102,236,8,3,1,2.101010101010101,3,1,2.101010101010101,0.2,44.11764705882353,130,65,18447,241.40197137521884,0.20661187171936035
963,"['100', '10', '3', '20', '50']",dg388.tpf,SAA,100,10,3,20,50,1,102,237,9,3,1,2.111111111111111,3,1,2.1616161616161618,0.2,47.05882352941176,114,57,5141,188.8746006518501,0.058103084564208984
