id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time,Edges,Diameter,Max in degree,Min in degree,Mean in degree,Max out degree,Min out degree,Mean out degree,Discounted Rate,Negative activities,Deadline,Last task Early Finish,Unit Effort,NPV,Time
102,RS,50,10,2,10,100,2,6282,"0,04687094688",94,8,2,1,"1,510204082",2,1,"1,571428571","0,1","96,15384615",141,47,6282,"-0,007902811634","0,04687094688"
103,SAA,50,10,2,10,100,2,2298,"0,01562070847",97,8,2,1,"1,612244898",2,1,"1,632653061","0,1","96,15384615",153,51,2298,"-0,005357550921","0,01562070847"
104,HS,50,10,2,10,100,2,2197,0,97,8,2,1,"1,612244898",2,1,"1,632653061","0,1","96,15384615",153,51,2197,"-0,005357550921",0
105,RS,50,10,2,10,100,2,10227,"0,1002440453",97,8,2,1,"1,612244898",2,1,"1,632653061","0,1","96,15384615",153,51,10227,"-0,005357550921","0,1002440453"
106,SAA,50,10,2,10,100,2,2302,"0,01562356949",97,7,2,1,"1,571428571",2,1,"1,632653061","0,1","96,15384615",153,51,2302,"-0,004582657489","0,01562356949"
107,HS,50,10,2,10,100,2,2199,"0,01562833786",97,7,2,1,"1,571428571",2,1,"1,632653061","0,1","96,15384615",153,51,2199,"-0,004582657489","0,01562833786"
108,RS,50,10,2,10,100,2,6480,"0,05376601219",97,7,2,1,"1,571428571",2,1,"1,632653061","0,1","96,15384615",153,51,6480,"-0,004582657489","0,05376601219"
109,SAA,50,10,2,10,100,2,2164,0,94,8,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",141,47,2164,"-0,01875476811",0
110,HS,50,10,2,10,100,2,2052,"0,0156223774",94,8,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",141,47,2052,"-0,01875476811","0,0156223774"
111,RS,50,10,2,10,100,2,8713,"0,06899762154",94,8,2,1,"1,571428571",2,1,"1,571428571","0,1","96,15384615",141,47,8713,"-0,01875476811","0,06899762154"
112,SAA,50,10,2,10,100,2,2154,0,95,8,2,1,"1,571428571",2,1,"1,530612245","0,1","96,15384615",114,38,2154,"-0,1032829368",0
113,HS,50,10,2,10,100,2,2064,"0,01562929153",95,8,2,1,"1,571428571",2,1,"1,530612245","0,1","96,15384615",114,38,2064,"-0,1032829368","0,01562929153"
114,RS,50,10,2,10,100,2,6904,"0,04686379433",95,8,2,1,"1,571428571",2,1,"1,530612245","0,1","96,15384615",114,38,6904,"-0,1032829368","0,04686379433"
115,SAA,50,10,2,10,100,2,2227,0,95,8,2,1,"1,551020408",2,1,"1,571428571","0,1","96,15384615",159,53,2227,"-0,002166396844",0
116,HS,50,10,2,10,100,2,2126,"0,0156223774",95,8,2,1,"1,551020408",2,1,"1,571428571","0,1","96,15384615",159,53,2126,"-0,002166396844","0,0156223774"
117,RS,50,10,2,10,100,2,6748,"0,05336904526",95,8,2,1,"1,551020408",2,1,"1,571428571","0,1","96,15384615",159,53,6748,"-0,002166396844","0,05336904526"
118,SAA,50,10,2,10,100,2,2233,"0,01561880112",92,9,2,1,"1,591836735",2,1,"1,571428571","0,1","96,15384615",189,63,2233,"-0,0002968803641","0,01561880112"
119,HS,50,10,2,10,100,2,2106,"0,01562142372",92,9,2,1,"1,591836735",2,1,"1,571428571","0,1","96,15384615",189,63,2106,"-0,0002968803641","0,01562142372"
120,RS,50,10,2,10,100,2,14935,"0,1186811924",92,9,2,1,"1,591836735",2,1,"1,571428571","0,1","96,15384615",189,63,14935,"-0,0002968803641","0,1186811924"
121,SAA,50,10,2,10,20,1,559,"0,00299191475",94,8,2,1,"1,551020408",2,1,"1,591836735","0,1","23,07692308",92,46,559,"507,7399321","0,00299191475"
122,HS,50,10,2,10,20,1,331,"0,00099730492",94,8,2,1,"1,551020408",2,1,"1,591836735","0,1","23,07692308",92,46,331,"507,7399321","0,00099730492"
123,RS,50,10,2,10,20,1,534,"0,00398755074",94,8,2,1,"1,551020408",2,1,"1,591836735","0,1","23,07692308",92,46,534,"507,7399321","0,00398755074"
124,SAA,50,10,2,10,20,1,292,"0,00199460983",94,7,2,1,"1,510204082",2,1,"1,551020408","0,1","11,53846154",80,40,292,"617,3241127","0,00199460983"
125,HS,50,10,2,10,20,1,153,"0,00099802017",94,7,2,1,"1,510204082",2,1,"1,551020408","0,1","11,53846154",80,40,153,"617,3241127","0,00099802017"
126,RS,50,10,2,10,20,1,295,"0,00398945808",94,7,2,1,"1,510204082",2,1,"1,551020408","0,1","11,53846154",80,40,295,"616,1490006","0,00398945808"
127,SAA,50,10,2,10,20,1,1018,"0,00997304916",93,9,2,1,"1,571428571",2,1,"1,612244898","0,1","15,38461538",116,58,1018,"308,3561881","0,00997304916"
128,HS,50,10,2,10,20,1,407,"0,00299239159",93,9,2,1,"1,571428571",2,1,"1,612244898","0,1","15,38461538",116,58,407,"308,3561881","0,00299239159"
129,RS,50,10,2,10,20,1,517,"0,00199365616",93,9,2,1,"1,571428571",2,1,"1,612244898","0,1","15,38461538",116,58,517,"308,3561881","0,00199365616"
130,SAA,50,10,2,10,20,1,672,"0,00897359848",94,8,2,1,"1,571428571",2,1,"1,530612245","0,1","17,30769231",102,51,672,"444,3913895","0,00897359848"
131,HS,50,10,2,10,20,1,286,"0,00199723244",94,8,2,1,"1,571428571",2,1,"1,530612245","0,1","17,30769231",102,51,286,"444,3913895","0,00199723244"
132,RS,50,10,2,10,20,1,357,"0,00099635124",94,8,2,1,"1,571428571",2,1,"1,530612245","0,1","17,30769231",102,51,357,"444,3913895","0,00099635124"
133,SAA,50,10,2,10,20,1,423,"0,00997066498",93,8,2,1,"1,510204082",2,1,"1,510204082","0,1","13,46153846",80,40,423,"608,1687319","0,00997066498"
134,HS,50,10,2,10,20,1,170,"0,00099849701",93,8,2,1,"1,510204082",2,1,"1,510204082","0,1","13,46153846",80,40,170,"608,1687319","0,00099849701"
135,RS,50,10,2,10,20,1,142,"0,00199460983",93,8,2,1,"1,510204082",2,1,"1,510204082","0,1","13,46153846",80,40,142,"608,1687319","0,00199460983"
136,SAA,50,10,2,10,20,1,894,"0,00598406792",94,7,2,1,"1,591836735",2,1,"1,551020408","0,1","17,30769231",120,60,894,"422,6653117","0,00598406792"
137,HS,50,10,2,10,20,1,369,"0,00498652458",94,7,2,1,"1,591836735",2,1,"1,551020408","0,1","17,30769231",120,60,369,"422,6653117","0,00498652458"
138,RS,50,10,2,10,20,1,632,"0,00598359108",94,7,2,1,"1,591836735",2,1,"1,551020408","0,1","17,30769231",120,60,632,"422,6653117","0,00598359108"
139,SAA,50,10,2,10,20,1,435,"0,00598144531",92,7,2,1,"1,551020408",2,1,"1,551020408","0,1","17,30769231",82,41,435,"479,8286788","0,00598144531"
140,HS,50,10,2,10,20,1,191,"0,00299215317",92,7,2,1,"1,551020408",2,1,"1,551020408","0,1","17,30769231",82,41,191,"479,8286788","0,00299215317"
141,RS,50,10,2,10,20,1,174,"0,00199341774",92,7,2,1,"1,551020408",2,1,"1,551020408","0,1","17,30769231",82,41,174,"479,8286788","0,00199341774"
142,SAA,50,10,2,10,20,1,312,"0,001994133",91,9,2,1,"1,530612245",2,1,"1,489795918","0,1","17,30769231",80,40,312,"376,0709338","0,001994133"
143,HS,50,10,2,10,20,1,161,"0,00099754333",91,9,2,1,"1,530612245",2,1,"1,489795918","0,1","17,30769231",80,40,161,"376,0709338","0,00099754333"
