;batch;instance;algo;par_Vertices;par_Layer;par_Fan;par_DicountedRate;par_PercNeg;par_CP;vertices;edges;diameter;max in degree;min in degree;mean in degree;max out degree;min out degree;mean out degree;discounted Rate;negative activities;deadline;last task Early Finish;effort;NPV;time
45;['50', '10', '2', '10', '0'];dg5.tpf;SAA;50;10;2;10;0;2;52;93;9;2;1;1.6122448979591837;2;1;1.5510204081632653;0.1;0.0;156;52;110;468.81662972468206;0.0
46;['50', '10', '2', '10', '0'];dg5.tpf;HS;50;10;2;10;0;2;52;93;9;2;1;1.6122448979591837;2;1;1.5510204081632653;0.1;0.0;156;52;52;468.81662972468206;0.0
47;['50', '10', '2', '10', '0'];dg5.tpf;RS;50;10;2;10;0;2;52;93;9;2;1;1.6122448979591837;2;1;1.5510204081632653;0.1;0.0;156;52;52;468.81662972468206;0.0010311603546142578
48;['50', '10', '2', '10', '0'];dg6.tpf;SAA;50;10;2;10;0;2;52;94;7;2;1;1.5918367346938775;2;1;1.5714285714285714;0.1;0.0;150;50;112;707.7175466986736;0.0
49;['50', '10', '2', '10', '0'];dg6.tpf;HS;50;10;2;10;0;2;52;94;7;2;1;1.5918367346938775;2;1;1.5714285714285714;0.1;0.0;150;50;52;707.7175466986736;0.0
50;['50', '10', '2', '10', '0'];dg6.tpf;RS;50;10;2;10;0;2;52;94;7;2;1;1.5918367346938775;2;1;1.5714285714285714;0.1;0.0;150;50;52;707.7175466986736;0.0
51;['50', '10', '2', '10', '0'];dg7.tpf;SAA;50;10;2;10;0;2;52;91;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;0.0;135;45;109;629.9608097212792;0.0
52;['50', '10', '2', '10', '0'];dg7.tpf;HS;50;10;2;10;0;2;52;91;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;0.0;135;45;52;629.9608097212792;0.0
53;['50', '10', '2', '10', '0'];dg7.tpf;RS;50;10;2;10;0;2;52;91;8;2;1;1.510204081632653;2;1;1.5510204081632653;0.1;0.0;135;45;52;629.9608097212792;0.0008158683776855469
54;['50', '10', '2', '10', '0'];dg8.tpf;SAA;50;10;2;10;0;2;52;93;9;2;1;1.510204081632653;2;1;1.489795918367347;0.1;0.0;171;57;108;751.7042104876375;0.0
