id,algo,vertices,layer,fan,disRate,percNeg,cpMult,effort,time
252,RS,50,10,2,10,60,1,2826,"0,03124189377"
253,SAA,50,10,2,10,60,1,862,"0,00000000000"
254,HS,50,10,2,10,60,1,539,"0,00000000000"
255,RS,50,10,2,10,60,1,1272,"0,01562356949"
256,SAA,50,10,2,10,60,1,1299,"0,01561522484"
257,HS,50,10,2,10,60,1,899,"0,00000000000"
258,RS,50,10,2,10,60,1,1239,"0,00651097298"
259,SAA,50,10,2,10,60,1,1055,"0,00000000000"
260,HS,50,10,2,10,60,1,655,"0,01561808586"
261,RS,50,10,2,10,60,1,928,"0,00650858879"
262,SAA,50,10,2,10,60,1,1299,"0,01561975479"
263,HS,50,10,2,10,60,1,1021,"0,00000000000"
264,RS,50,10,2,10,60,1,1662,"0,00650668144"
265,SAA,50,10,2,10,60,1,1141,"0,00000000000"
266,HS,50,10,2,10,60,1,973,"0,00000000000"
267,RS,50,10,2,10,60,1,3928,"0,02213454247"
268,SAA,50,10,2,10,60,1,1186,"0,01561880112"
269,HS,50,10,2,10,60,1,665,"0,01562237740"
270,RS,50,10,2,10,60,1,898,"0,00598382950"
271,SAA,50,10,2,10,60,2,1184,"0,00000000000"
272,HS,50,10,2,10,60,2,778,"0,00000000000"
273,RS,50,10,2,10,60,2,2802,"0,01562309265"
274,SAA,50,10,2,10,60,2,1312,"0,00000000000"
275,HS,50,10,2,10,60,2,1167,"0,00000000000"
276,RS,50,10,2,10,60,2,4430,"0,03124189377"
277,SAA,50,10,2,10,60,2,1480,"0,01561975479"
278,HS,50,10,2,10,60,2,1249,"0,00000000000"
279,RS,50,10,2,10,60,2,7004,"0,05337572098"
280,SAA,50,10,2,10,60,2,1210,"0,01088929176"
281,HS,50,10,2,10,60,2,882,"0,00299215317"
282,RS,50,10,2,10,60,2,2012,"0,01795268059"
283,SAA,50,10,2,10,60,2,999,"0,00498604774"
284,HS,50,10,2,10,60,2,761,"0,01096820831"
285,RS,50,10,2,10,60,2,2018,"0,01994490623"
286,SAA,50,10,2,10,60,2,1686,"0,02110099792"
287,HS,50,10,2,10,60,2,1364,"0,00201487541"
288,RS,50,10,2,10,60,2,2751,"0,02393746376"
289,SAA,50,10,2,10,60,2,911,"0,01994872093"
290,HS,50,10,2,10,60,2,689,"0,00498700142"
291,RS,50,10,2,10,60,2,3632,"0,03091597557"
292,SAA,50,10,2,10,60,2,1133,"0,00698280334"
293,HS,50,10,2,10,60,2,853,"0,00000000000"
294,RS,50,10,2,10,60,2,5531,"0,05933690071"
295,SAA,50,10,2,10,60,2,1272,"0,00698304176"
296,HS,50,10,2,10,60,2,1000,"0,00697922707"
297,RS,50,10,2,10,60,2,2183,"0,02593207359"
298,SAA,50,10,2,10,60,2,1045,"0,00598287582"
299,HS,50,10,2,10,60,2,742,"0,00498723984"
300,RS,50,10,2,10,60,2,1893,"0,01396226883"
301,SAA,50,10,2,10,80,1,1469,"0,01296496391"
302,HS,50,10,2,10,80,1,1290,"0,02072405815"
303,RS,50,10,2,10,80,1,3374,"0,03989481926"
304,SAA,50,10,2,10,80,1,1408,"0,00997352600"
305,HS,50,10,2,10,80,1,1237,"0,00598406792"
306,RS,50,10,2,10,80,1,4806,"0,04787302017"
307,SAA,50,10,2,10,80,1,1233,"0,00997257233"
308,HS,50,10,2,10,80,1,955,"0,01096916199"
309,RS,50,10,2,10,80,1,3213,"0,02992010117"
310,SAA,50,10,2,10,80,1,1752,"0,01495981216"
311,HS,50,10,2,10,80,1,1404,"0,01196789742"
312,RS,50,10,2,10,80,1,5657,"0,05784416199"
313,SAA,50,10,2,10,80,1,1625,"0,00598335266"
